doc_id;babelSynsetID;fragment;count
2010-BATI;bn:00087107v;performed;2
2010-BATI;bn:00087731v;test;1
2010-BATI;bn:00087826v;illustrate;1
2010-BATI;bn:00087870v;explain;1
2010-BATI;bn:00088428v;viewed;1
2010-BATI;bn:00088614v;satisfied;1
2010-BATI;bn:00088629v;functioning;2
2010-BATI;bn:00089101v;guarantee;2
2010-BATI;bn:00089575v;identify;2
2010-BATI;bn:00089662v;include;1
2010-BATI;bn:00089724v;inform;2
2010-BATI;bn:00089808v;interact;2
2010-BATI;bn:00089814v;interesting;1
2010-BATI;bn:00090035v;maintain;1
2010-BATI;bn:00090161v;missing;1
2010-BATI;bn:00090243v;result;6
2010-BATI;bn:00090943v;speaking;1
2010-BATI;bn:00091028v;needs;6
2010-BATI;bn:00091136v;offers;1
2010-BATI;bn:00092421v;react;1
2010-BATI;bn:00092626v;refined;2
2010-BATI;bn:00093287v;states;4
2010-BATI;bn:00094927v;threatened;1
2010-BATI;bn:00095360v;underlying;1
2010-BATI;bn:00095974a;second;1
2010-BATI;bn:00096151a;able;1
2010-BATI;bn:00096292a;accurate;2
2010-BATI;bn:00096936a;ambiguous;2
2010-BATI;bn:00097846a;available;3
2010-BATI;bn:00099598a;main;3
2010-BATI;bn:00100144a;complete;1
2010-BATI;bn:00100237a;verifiable;6
2010-BATI;bn:00100674a;critical;1
2010-BATI;bn:00101230a;worth;1
2010-BATI;bn:00101918a;dynamic;3
2010-BATI;bn:00102171a;empirical;8
2010-BATI;bn:00102277a;total;1
2010-BATI;bn:00102624a;external;1
2010-BATI;bn:00102800a;fashionable;1
2010-BATI;bn:00103419a;operational;3
2010-BATI;bn:00104196a;higher;2
2010-BATI;bn:00105087a;informational;1
2010-BATI;bn:00106118a;logistic;15
2010-BATI;bn:00107028a;multiple;2
2010-BATI;bn:00107182a;necessary;1
2010-BATI;bn:00108977a;present;1
2010-BATI;bn:00109650a;related;1
2010-BATI;bn:00110563a;short;4
2010-BATI;bn:00111002a;specific;1
2010-BATI;bn:00111004a;specific;1
2010-BATI;bn:00111409a;successful;1
2010-BATI;bn:00111688a;technological;2
2010-BATI;bn:00113486a;valid;7
2010-BATI;bn:00115235r;particularly;2
2010-BATI;bn:00115770r;implicitly;1
2010-BATI;bn:00123890n;project stakeholders;2
2010-BATI;bn:00181492n;structurer;2
2010-BATI;bn:00188711n;project team;1
2010-BATI;bn:00278375n;gg;3
2010-BATI;bn:00281202n;bb;2
2010-BATI;bn:00353055n;quality;2
2010-BATI;bn:00424546n;user manuals;1
2010-BATI;bn:00632106n;profit;1
2010-BATI;bn:00669284n;rr;5
2010-BATI;bn:00703368n;product type;2
2010-BATI;bn:00723086n;dd;3
2010-BATI;bn:00726588n;ff;2
2010-BATI;bn:00756342n;business objects;15
2010-BATI;bn:00850267n;significant difference;1
2010-BATI;bn:00912069n;time boxing;2
2010-BATI;bn:00912901n;process modeling;1
2010-BATI;bn:01068410n;class instance;1
2010-BATI;bn:01130006n;software metrics;1
2010-BATI;bn:01157788n;uml modeling;1
2010-BATI;bn:01165400n;microsoft;1
2010-BATI;bn:01240512n;directed graph;1
2010-BATI;bn:01244302n;description;1
2010-BATI;bn:01300839n;microsoft excel;1
2010-BATI;bn:01321349n;landscape;1
2010-BATI;bn:01502435n;point of sale;4
2010-BATI;bn:01723987n;business strategy;1
2010-BATI;bn:01730480n;product management;1
2010-BATI;bn:01875393n;class diagram;1
2010-BATI;bn:01944346n;system model;2
2010-BATI;bn:01993107n;business domain;1
2010-BATI;bn:02073451n;budget constraints;1
2010-BATI;bn:02245863n;usability;1
2010-BATI;bn:02461163n;time budget;1
2010-BATI;bn:02527555n;business requirements;5
2010-BATI;bn:02548498n;hh;2
2010-BATI;bn:02555826n;cc;12
2010-BATI;bn:02612327n;edges;1
2010-BATI;bn:02631373n;objectif;2
2010-BATI;bn:02788029n;business process;5
2010-BATI;bn:02823226n;reusability;1
2010-BATI;bn:03086464n;emergence;1
2010-BATI;bn:03098987n;engineers;1
2010-BATI;bn:03136623n;reuse;1
2010-BATI;bn:03136677n;research literature;1
2010-BATI;bn:03155334n;system design;1
2010-BATI;bn:03221778n;product category;2
2010-BATI;bn:03343447n;requirements;5
2010-BATI;bn:03348716n;state transition;1
2010-BATI;bn:03424206n;c5;1
2010-BATI;bn:03502105n;corporate models;1
2010-BATI;bn:03558977n;process specification;1
2010-BATI;bn:03617553n;enterprise modeling;1
2010-BATI;bn:03620585n;capability maturity model;1
2010-BATI;bn:03635690n;time to market;1
2010-BATI;bn:03749679n;system testing;1
2010-BATI;bn:03860931n;stock management;1
2010-BATI;bn:03883152n;stakeholders;2
2010-BATI;bn:14498183n;business it alignment;10
2010-BATI;bn:14685380n;system resource;1
2010-BATI;bn:15125301n;system;66
2010-BATI;bn:16385494n;alignment;1
2010-BATI;bn:16657314n;system information;2
2010-BATI;bn:17095877n;empirical validation;2
2010-BPM;bn:00000670n;availability;1
2010-BPM;bn:00001077n;act;1
2010-BPM;bn:00001176n;actors;2
2010-BPM;bn:00001267n;adaption;1
2010-BPM;bn:00001551n;advance;2
2010-BPM;bn:00001598n;advisors;1
2010-BPM;bn:00001961n;authority;1
2010-BPM;bn:00002355n;al;1
2010-BPM;bn:00003125n;modification;2
2010-BPM;bn:00003341n;states;6
2010-BPM;bn:00005091n;applicant;28
2010-BPM;bn:00005095n;application;22
2010-BPM;bn:00005100n;application forms;1
2010-BPM;bn:00005435n;designer;1
2010-BPM;bn:00005934n;deco;13
2010-BPM;bn:00006125n;things;1
2010-BPM;bn:00007287n;authors;5
2010-BPM;bn:00008364n;bank;2
2010-BPM;bn:00009677n;living organisms;1
2010-BPM;bn:00012758n;trade name;1
2010-BPM;bn:00013173n;uk;1
2010-BPM;bn:00014137n;business;25
2010-BPM;bn:00014691n;figurer;2
2010-BPM;bn:00016287n;implementation;2
2010-BPM;bn:00016413n;type;2
2010-BPM;bn:00017124n;core;1
2010-BPM;bn:00017559n;challenge;1
2010-BPM;bn:00018123n;chemistry;1
2010-BPM;bn:00019220n;legal considerations;1
2010-BPM;bn:00019763n;customer;1
2010-BPM;bn:00020358n;developers;1
2010-BPM;bn:00020452n;process;7
2010-BPM;bn:00021221n;communication;2
2010-BPM;bn:00021248n;community;2
2010-BPM;bn:00021286n;company;1
2010-BPM;bn:00021383n;complexity;1
2010-BPM;bn:00021497n;software;10
2010-BPM;bn:00021547n;concept;4
2010-BPM;bn:00021653n;logical implication;1
2010-BPM;bn:00021961n;results;5
2010-BPM;bn:00022093n;consulting firms;1
2010-BPM;bn:00022095n;consumer;1
2010-BPM;bn:00022168n;context;12
2010-BPM;bn:00022227n;contract;3
2010-BPM;bn:00022275n;contributors;1
2010-BPM;bn:00022991n;creation;2
2010-BPM;bn:00023236n;state;18
2010-BPM;bn:00023807n;crime;1
2010-BPM;bn:00023853n;criteria;2
2010-BPM;bn:00024712n;network;1
2010-BPM;bn:00025083n;terms;1
2010-BPM;bn:00025693n;decision making;7
2010-BPM;bn:00025928n;definition;1
2010-BPM;bn:00026107n;demand;1
2010-BPM;bn:00026352n;dependents;1
2010-BPM;bn:00026817n;diagram;2
2010-BPM;bn:00026838n;negotiation;2
2010-BPM;bn:00027523n;treatment;5
2010-BPM;bn:00029239n;responsibilities;1
2010-BPM;bn:00029296n;dynamics;1
2010-BPM;bn:00029416n;pay;2
2010-BPM;bn:00029678n;economy;1
2010-BPM;bn:00029876n;effectiveness;1
2010-BPM;bn:00030624n;employer;1
2010-BPM;bn:00030721n;goal;3
2010-BPM;bn:00031009n;initiative;1
2010-BPM;bn:00031339n;synonym;10
2010-BPM;bn:00031712n;right;1
2010-BPM;bn:00032060n;evolution;6
2010-BPM;bn:00032100n;example;8
2010-BPM;bn:00032172n;execution context;1
2010-BPM;bn:00032306n;experience;2
2010-BPM;bn:00032309n;experiment;2
2010-BPM;bn:00032768n;beliefs;1
2010-BPM;bn:00033729n;way;2
2010-BPM;bn:00033939n;fee;4
2010-BPM;bn:00033948n;feedback;1
2010-BPM;bn:00034516n;final decision;2
2010-BPM;bn:00034537n;financial institution;3
2010-BPM;bn:00036821n;gs;3
2010-BPM;bn:00036845n;interaction;2
2010-BPM;bn:00040717n;glossary;1
2010-BPM;bn:00041066n;good faith;1
2010-BPM;bn:00042107n;template;1
2010-BPM;bn:00043358n;health;1
2010-BPM;bn:00044268n;history;1
2010-BPM;bn:00044576n;man;1
2010-BPM;bn:00045088n;http;4
2010-BPM;bn:00045632n;theory;8
2010-BPM;bn:00046317n;income tax;1
2010-BPM;bn:00046318n;income tax returns;1
2010-BPM;bn:00046516n;individuals;1
2010-BPM;bn:00046519n;individualization;1
2010-BPM;bn:00046576n;industry;1
2010-BPM;bn:00046705n;information;4
2010-BPM;bn:00047021n;reason;1
2010-BPM;bn:00047114n;version;2
2010-BPM;bn:00047172n;site;1
2010-BPM;bn:00047354n;investigation;1
2010-BPM;bn:00047734n;control flow;5
2010-BPM;bn:00048242n;problem;4
2010-BPM;bn:00048655n;laws;1
2010-BPM;bn:00049573n;project;50
2010-BPM;bn:00049910n;language;1
2010-BPM;bn:00049911n;speech;1
2010-BPM;bn:00050659n;lender;10
2010-BPM;bn:00051538n;literature;2
2010-BPM;bn:00051693n;loan;1
2010-BPM;bn:00051845n;logic;3
2010-BPM;bn:00053116n;management;34
2010-BPM;bn:00053458n;market;1
2010-BPM;bn:00053823n;change;1
2010-BPM;bn:00054416n;product;3
2010-BPM;bn:00054633n;methodology;1
2010-BPM;bn:00055438n;necessity;1
2010-BPM;bn:00055950n;mortgage application;2
2010-BPM;bn:00055953n;mortgage loan;2
2010-BPM;bn:00055954n;mortgage;2
2010-BPM;bn:00056037n;motivation;2
2010-BPM;bn:00056857n;stories;1
2010-BPM;bn:00056996n;physics;2
2010-BPM;bn:00057017n;environment;6
2010-BPM;bn:00058285n;number;2
2010-BPM;bn:00059480n;organizations;6
2010-BPM;bn:00060799n;participant;1
2010-BPM;bn:00061114n;pay stubs;1
2010-BPM;bn:00061119n;payment;2
2010-BPM;bn:00061826n;request;1
2010-BPM;bn:00063330n;policy;1
2010-BPM;bn:00064594n;production;3
2010-BPM;bn:00064626n;technique;1
2010-BPM;bn:00064755n;property;3
2010-BPM;bn:00065268n;purchase contract;1
2010-BPM;bn:00065495n;quadrant;1
2010-BPM;bn:00067280n;research;6
2010-BPM;bn:00067519n;tax;12
2010-BPM;bn:00068562n;run time;7
2010-BPM;bn:00070404n;semantics;6
2010-BPM;bn:00070528n;sentence;1
2010-BPM;bn:00070574n;sequence;2
2010-BPM;bn:00070697n;set;13
2010-BPM;bn:00070711n;set theory;1
2010-BPM;bn:00072551n;social security card;1
2010-BPM;bn:00073217n;specification;9
2010-BPM;bn:00073248n;speech act;2
2010-BPM;bn:00073699n;team;1
2010-BPM;bn:00076231n;tax forms;4
2010-BPM;bn:00076251n;taxonomy;4
2010-BPM;bn:00076732n;text;2
2010-BPM;bn:00076843n;therapy;1
2010-BPM;bn:00077270n;time;16
2010-BPM;bn:00077462n;today;2
2010-BPM;bn:00077585n;tool;5
2010-BPM;bn:00077990n;transformation;1
2010-BPM;bn:00080772n;www;7
2010-BPM;bn:00081578n;workflow;4
2010-BPM;bn:00082197v;accepting;1
2010-BPM;bn:00082208v;accessed;1
2010-BPM;bn:00082215v;adapted;2
2010-BPM;bn:00082225v;fulfilled;2
2010-BPM;bn:00082226v;achieve;3
2010-BPM;bn:00082227v;according;1
2010-BPM;bn:00082379v;adopted;1
2010-BPM;bn:00082573v;improve;1
2010-BPM;bn:00082668v;predict;1
2010-BPM;bn:00083184v;existing;2
2010-BPM;bn:00083240v;related;2
2010-BPM;bn:00083370v;regarding;1
2010-BPM;bn:00083437v;requested;3
2010-BPM;bn:00083451v;depending;1
2010-BPM;bn:00083468v;predetermining;1
2010-BPM;bn:00084099v;issued;2
2010-BPM;bn:00084331v;buying;2
2010-BPM;bn:00084508v;captured;2
2010-BPM;bn:00084726v;focus;1
2010-BPM;bn:00084931v;selected;2
2010-BPM;bn:00085337v;occur;1
2010-BPM;bn:00085479v;fills in;1
2010-BPM;bn:00085514v;conceptualized;1
2010-BPM;bn:00085837v;corresponding;2
2010-BPM;bn:00086013v;built;1
2010-BPM;bn:00086465v;defined;14
2010-BPM;bn:00086587v;denoted;1
2010-BPM;bn:00086778v;prescribed;1
2010-BPM;bn:00086800v;distinguish;1
2010-BPM;bn:00086870v;engineering;2
2010-BPM;bn:00086931v;discuss;3
2010-BPM;bn:00087107v;performed;1
2010-BPM;bn:00087737v;looked upon;1
2010-BPM;bn:00087783v;evolves;1
2010-BPM;bn:00087826v;illustrate;4
2010-BPM;bn:00088493v;formalize;1
2010-BPM;bn:00088693v;gathered;1
2010-BPM;bn:00090590v;make it;1
2010-BPM;bn:00090876v;modeling;27
2010-BPM;bn:00091012v;specialized;1
2010-BPM;bn:00091028v;needs;5
2010-BPM;bn:00091200v;oriented;1
2010-BPM;bn:00092421v;react;1
2010-BPM;bn:00092541v;recording;1
2010-BPM;bn:00094491v;structured;2
2010-BPM;bn:00095101v;transited;1
2010-BPM;bn:00096212a;abstract;1
2010-BPM;bn:00096293a;accurate;2
2010-BPM;bn:00097372a;applicable;1
2010-BPM;bn:00097398a;appropriate;1
2010-BPM;bn:00098829a;powerful;1
2010-BPM;bn:00099598a;main;2
2010-BPM;bn:00100021a;conversational;1
2010-BPM;bn:00100203a;final;1
2010-BPM;bn:00100206a;concrete;1
2010-BPM;bn:00100449a;coordinative;1
2010-BPM;bn:00100536a;global;1
2010-BPM;bn:00101019a;declarative;3
2010-BPM;bn:00102112a;elementary;1
2010-BPM;bn:00102971a;financial;5
2010-BPM;bn:00103816a;innovative;1
2010-BPM;bn:00104162a;high;1
2010-BPM;bn:00104386a;human;1
2010-BPM;bn:00104643a;imperative;1
2010-BPM;bn:00104675a;implicit;1
2010-BPM;bn:00104974a;individualized;2
2010-BPM;bn:00105275a;interested;1
2010-BPM;bn:00106335a;major;1
2010-BPM;bn:00106935a;more than;1
2010-BPM;bn:00107028a;multiple;2
2010-BPM;bn:00107182a;necessary;1
2010-BPM;bn:00107594a;prescriptive;6
2010-BPM;bn:00107677a;obligatory;10
2010-BPM;bn:00108829a;possible;8
2010-BPM;bn:00110267a;temporal;1
2010-BPM;bn:00110842a;social;4
2010-BPM;bn:00111606a;systematic;2
2010-BPM;bn:00111806a;theoretical;3
2010-BPM;bn:00113486a;valid;1
2010-BPM;bn:00114513r;soon;1
2010-BPM;bn:00114778r;usually;2
2010-BPM;bn:00186310n;information exchange;1
2010-BPM;bn:00219035n;first order logic;3
2010-BPM;bn:00285559n;business process modeling;8
2010-BPM;bn:00323430n;social software;5
2010-BPM;bn:00612059n;specification language;1
2010-BPM;bn:00655130n;enterprise architecture;1
2010-BPM;bn:00688133n;credit history;1
2010-BPM;bn:00744700n;irs;1
2010-BPM;bn:00857464n;formal methods;1
2010-BPM;bn:00911836n;social production;2
2010-BPM;bn:00912901n;process modeling;31
2010-BPM;bn:00983419n;customer experience;1
2010-BPM;bn:01027542n;information source;1
2010-BPM;bn:01190125n;scenario;1
2010-BPM;bn:01281132n;role hierarchy;2
2010-BPM;bn:01305513n;process manager;2
2010-BPM;bn:01344550n;document review;3
2010-BPM;bn:01420568n;process lifecycle;1
2010-BPM;bn:01519631n;good faith estimate;1
2010-BPM;bn:01598370n;business process management;2
2010-BPM;bn:01608393n;van der aalst;1
2010-BPM;bn:01804996n;unpredictability;1
2010-BPM;bn:01811449n;design specification;1
2010-BPM;bn:01814641n;aggregation;1
2010-BPM;bn:01918343n;formal specification;1
2010-BPM;bn:02007105n;cost effectiveness;1
2010-BPM;bn:02048349n;process analysis;1
2010-BPM;bn:02116046n;rater;2
2010-BPM;bn:02180118n;component modeling;1
2010-BPM;bn:02291059n;rfp;4
2010-BPM;bn:02370529n;bpmn;13
2010-BPM;bn:02387665n;collaboration;2
2010-BPM;bn:02395049n;toes;1
2010-BPM;bn:02395950n;case example;1
2010-BPM;bn:02415158n;financial advisors;1
2010-BPM;bn:02489080n;federal income tax;1
2010-BPM;bn:02508671n;bizagi;2
2010-BPM;bn:02571962n;uml diagrams;1
2010-BPM;bn:02631373n;objectif;4
2010-BPM;bn:02747390n;research community;1
2010-BPM;bn:02788029n;business process;23
2010-BPM;bn:02825036n;modeling languages;1
2010-BPM;bn:02918442n;correctness;2
2010-BPM;bn:03088982n;configurability;10
2010-BPM;bn:03115305n;postcondition;7
2010-BPM;bn:03127800n;management process;16
2010-BPM;bn:03288118n;wikipedia;2
2010-BPM;bn:03393005n;abstract process;1
2010-BPM;bn:03491438n;process mining;1
2010-BPM;bn:03506057n;process control;1
2010-BPM;bn:03537096n;case management;2
2010-BPM;bn:03558977n;process specification;8
2010-BPM;bn:03684673n;best practice;1
2010-BPM;bn:03758543n;property appraisal;2
2010-BPM;bn:03796820n;1040ez;9
2010-BPM;bn:14456945n;manager;3
2010-BPM;bn:14505599n;income;3
2010-BPM;bn:14762397n;epc;4
2010-BPM;bn:15125301n;system;2
2010-BPM;bn:15265853n;brand new;1
2010-BPM;bn:17206640n;design time;3
2010-GRN;bn:00000005n;ones;1
2010-GRN;bn:00000010n;thousands;1
2010-GRN;bn:00000242n;abc;11
2010-GRN;bn:00000318n;ability;1
2010-GRN;bn:00000550n;academia;1
2010-GRN;bn:00000670n;availability;3
2010-GRN;bn:00000870n;success;3
2010-GRN;bn:00001227n;promotion;1
2010-GRN;bn:00001250n;smith;1
2010-GRN;bn:00001287n;dependence;1
2010-GRN;bn:00001422n;administrator;8
2010-GRN;bn:00001544n;maturity;1
2010-GRN;bn:00002008n;aggregate;1
2010-GRN;bn:00002178n;intention;1
2010-GRN;bn:00002179n;target;10
2010-GRN;bn:00002355n;al;3
2010-GRN;bn:00003341n;states;12
2010-GRN;bn:00005009n;fashion business;1
2010-GRN;bn:00005090n;applicability;18
2010-GRN;bn:00005095n;application;42
2010-GRN;bn:00005598n;arguer;1
2010-GRN;bn:00005603n;input parameters;19
2010-GRN;bn:00005927n;art;2
2010-GRN;bn:00006555n;visibility;1
2010-GRN;bn:00006558n;assumption;1
2010-GRN;bn:00007117n;auditability;1
2010-GRN;bn:00007287n;authors;7
2010-GRN;bn:00007498n;awareness;1
2010-GRN;bn:00007985n;study;2
2010-GRN;bn:00008051n;correspondence;1
2010-GRN;bn:00008364n;bank;1
2010-GRN;bn:00008794n;infrastructure;1
2010-GRN;bn:00009396n;beats;1
2010-GRN;bn:00009657n;behavior;1
2010-GRN;bn:00012681n;head;9
2010-GRN;bn:00012758n;trade name;2
2010-GRN;bn:00013738n;build­up;4
2010-GRN;bn:00014137n;business;171
2010-GRN;bn:00014145n;business activities;4
2010-GRN;bn:00014691n;figurer;11
2010-GRN;bn:00014710n;months;1
2010-GRN;bn:00016287n;implementation;6
2010-GRN;bn:00016413n;type;1
2010-GRN;bn:00017124n;core;1
2010-GRN;bn:00017761n;feature;1
2010-GRN;bn:00019478n;class system;1
2010-GRN;bn:00019980n;textile;13
2010-GRN;bn:00020358n;developers;4
2010-GRN;bn:00020445n;mathematical rigour;1
2010-GRN;bn:00020452n;process;83
2010-GRN;bn:00020726n;color;7
2010-GRN;bn:00020997n;business rules;6
2010-GRN;bn:00021221n;communication;3
2010-GRN;bn:00021248n;community;1
2010-GRN;bn:00021286n;company;9
2010-GRN;bn:00021383n;complexity;1
2010-GRN;bn:00021475n;file;5
2010-GRN;bn:00021497n;software;9
2010-GRN;bn:00021547n;concept;1
2010-GRN;bn:00021961n;results;28
2010-GRN;bn:00022007n;integration;1
2010-GRN;bn:00022168n;context;3
2010-GRN;bn:00022991n;creation;2
2010-GRN;bn:00023236n;state;14
2010-GRN;bn:00023853n;criteria;6
2010-GRN;bn:00025083n;terms;3
2010-GRN;bn:00025331n;information systems;12
2010-GRN;bn:00025333n;database;1
2010-GRN;bn:00025928n;definition;6
2010-GRN;bn:00025966n;level;2
